web_scraper_order,web_scraper_start_url,name,rating,description,minimum
"1766595122-1","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","mit&ohne kebab - HB","4","Kebab, Lokale Geheimtipps","Min. 15,00CHF"
"1766595122-2","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Black Tap Craft Burgers & Beer Zurich","4,3","Amerikanisch, Burger","Min. 18,00CHF"
"1766595122-3","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Bierhalle Wolf","4,1","Snacks, Getränke/Snacks","Min. 18,00CHF"
"1766595122-4","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","MrBeast Burger© Zürich","3,3","Snacks, Amerikanisch","Min. 30,00CHF"
"1766595122-5","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Starbucks Limmatstrasse","3,8","Frühstück, Kaffee","Kein Mindestbestellwert"
"1766595122-6","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","McDonald's® Zürich Löwenstrasse","4,1","Amerikanisch, Burger","Min. 18,00CHF"
"1766595122-7","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Holy Cow! Gourmet Burger Co. ZÜRICH ZÄHRINGERSTRASSE","4,7","Snacks, Burger","Min. 18,00CHF"
"1766595122-8","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Sora","3,7","Sushi, Japanisch","Min. 18,00CHF"
"1766595122-9","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Janni Pizzakurier Zürich","4,9","Italienische Pizza, Pasta","Min. 20,00CHF"
"1766595122-10","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","KAIMUG","4","Asiatisch, Vegetarisch","Min. 18,00CHF"
"1766595122-11","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","SUBWAY Zürich HB","4,1","Snacks, Sandwiches","Min. 18,00CHF"
"1766595122-12","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Nelson's Kitchen","4,4","Amerikanisch, Burger","Min. 18,00CHF"
"1766595122-13","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Action Burger","4,3","Burger, Lokale Geheimtipps","Min. 18,00CHF"
"1766595122-14","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","CORSA","5","Frühstück, Pasta","Min. 18,00CHF"
"1766595122-15","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","China Restaurant Chopstick","4","Chinesisch, Vegetarisch","Min. 18,00CHF"
"1766595122-16","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Suan Long","4,1","Thailändisch, Asiatisch","Min. 18,00CHF"
"1766595122-17","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","BURGER KING ® Zürich Gleis 18","3,9","Amerikanisch, Burger","Min. 18,00CHF"
"1766595122-18","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","San Gennaro - Löwenstrasse","4","Italienische Pizza, Lokale Geheimtipps","Min. 18,00CHF"
"1766595122-19","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Konshi - Asia Kitchen & Sushi","4","Sushi, Thailändisch","Min. 18,00CHF"
"1766595122-20","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","SAM'S Pizza Land Zürich","4,1","Italienische Pizza, Amerikanische Pizza","Min. 18,00CHF"
"1766595122-21","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Saravanaa Bhavan Zurich","4,4","Indisch, Vegan","Min. 18,00CHF"
"1766595122-22","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","N-68","3,6","Italienisch, Burger","Min. 18,00CHF"
"1766595122-23","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Restaurant 1001","4,1","Kebab","Min. 18,00CHF"
"1766595122-24","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","ZFC Zürich","3,9","Hühnchen, Burger","Min. 40,00CHF"
"1766595122-25","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","3 Men's Kebab","4,4","Türkisch, Kebab","Min. 18,00CHF"
